Nome, codigo, cargaHoraria
Cálculo I,CAL1,80
Probabilidade e Estatística,PRES,80
Fundamentos de Sistemas de Informação,FSIN,80
Inglês Instrumental,INGI,40
Lógica Matemática,LOGM,80
Tecnologias Web,TWB,80
Metodologia do Trabalho Científico,MTC,80
Introdução à Administração,INTA,40
Introdução à Engenharia Elétrica,INEE
Lógica e Linguagem de Programação,LLPR,120
Arquitetura de Computadores,ARQC,80
Redes de Computadores I,REDC1,80
Programação Estruturada e Estrutura de Dados,PEED,80
Gerência de Redes,GERE,80
Banco de Dados I,BD1,80
Introdução à Contabilidade e Finanças,ICF,80
Sistemas Operacionais,SOP,80
Sociologia Aplicada a Ética Profissional,SAEP,40
Design e Multimídia,DEM,40
Processamento Digital de Imagens,PDI,80
Programação Orientada a Objetos,POO,80
Sistemas Distribuídos,SDIS,80
Construção e Análise de Algoritmos,CAA,80
Banco de Dados II,BD2,80
Engenharia de Software,ENGS,80
Interface Homem-Computador,IHC,80
Programação Web I,PWEB1,80
Programação Web II,PWEB2,80
Gerência de Projetos,GERP,40
Legislação e Informática,LINF,40
Comércio Eletrônico,COME,40
Análise e Projeto de Sistemas,APSI,80
Marketing,MKT,40
Projeto Integrador I,PRINT1,80
Programação Web II,PWEB2,80
Redes de Computadores II,REDC2,80
Laboratório e Desenvolvimento de Sistemas,LDS,80
Governança de Tecnologia da Informação,GOTI,80
Inteligência Computacional,ICOM,80
Projeto Integrador II,PRINT2,80
Sistemas de Apoio a Decisão,SAD,80
Auditoria e Segurança de Sistemas de Informação,ASSI,40
Programação para Dispositivos Móveis,PDM,80
Empreendedorismo,EMP,40
Língua Brasileira dos Sinais,LIBRAS,80
Introdução ao Desenvolvimento de Jogos Digitais,IDJD,80
Responsabilidade Social e Ambiental,RSA,40
Trabalho de Conclusão de Curso,TCC,40
Álgebra Linear,ALGL,80
Engenharia de Vendas e Negócios de Informática,EVNI,80
Computação Gráfica,CMP,80
Gerenciamento de Projetos em Softwares Livres,GPSL,80
Higiene e Segurança do Trabalho,HST,80





