Nome,codigo, cargaHoraria 
Cálculo I,CAL1,80
Lógica de Programação,LOPR,80
Sociologia Industrial,SOC,40
Química Geral,QUIM,80
Ética e Cidadania,ETCID,40
Desenho Técnico,DTEC,80
Cálculo II,CAL2,80
Física I,FIS1,80
Probabilidade e Estatística,PRES,80
Desenho Auxiliado por Computador,CAD,80
Álgebra Linear,ALGL,80
Cálculo III,CAL3,80
Física II,FS2,80
Metrologia,METR,80
Física Experimental I,FISEXPI,40
Ciências do Ambiente,CIENC,40
Mecânica Geral,MECG,80
Higiene e Segurança no Trabalho,HST,40
Física III,FS3,80
Metodologia Científica e Tecnológica,METC,40
Materiais I,MCMI,80
Métodos Numéricos,MNUM,80
Direito para Engenharia,DIR,40
Materiais II,MCMII,80
Processo de Fabricação I,PROCF1,80
Mecanismos,MECNS,80
Física Experimental II,FISEXP2,40
Educação Física,ED,40
Manufatura Integrada por Componentes,MNIP,40
Língua Brasileira dos Sinais,LIBRAS,40
Máquinas de Elevação,ME,40
Materiais Compostos,MATC,40
Termodinâmica,TERMO,80
Mecânica dos Sólidos,MECS,80
Soldagem,SOL,80
Processos de Fabricação II,PROCFII,80
Ensaios Mecânicos,ENSM,80
Eletrotécnica,ELET,80
Gestão da Manutenção Industrial,GESMI,40
Mecânica dos Fluidos,MECF,80
Sistemas Mecânicos I,SIMEC1,80
Administração e Empreendedorismo,ADME,40
Laboratório de Processos de Fabricação,LBPF,80
Transportadores Industriais,TRIN,40
Transferência de Calor,TRFC,80
Acionamentos Hidráulicos e Pneumáticos,AHP,80
Controle de Qualidade,CQUA,40
Manutenção Industrial,MIND,80
Sistemas Mecânicos II,SIMEC2,40
Máquinas Térmicas e de Fluxo,MTF,80
CNC/CAM,CC,80
Economia,ECON,40
Planejamento e Controle da Produção,PCP,80
Tratamentos Térmicos e Termoquímicos,TTT,80
Metalurgia da Soldagem,MTSL,40
Ergonomia,ERG,40
Vibrações Mecânicas,VM,40
Inglês Instrumental,INGI,40
Comunicação e Linguagem,CML,40
Energias Renováveis,ENR,40
Refrigeração Industrial,RFI,80
Robótica I,RB1,80
Gestão de Projetos,GESP,80
Corrosão e Proteção Anticorrosiva,CPA,80
Tribologia e Lubrificação,TL,80
Projetos Sociais,PRSOS,40
Trabalho de Conclusão de Curso,TCC,40
Projeto de Engenharia,PROENG,80






















