Nome,codigo
Probabilidade e Estatística,PRES
Fundamentos de Sistemas de Informação,FSIN
Inglês Instrumental,INGI
Lógica Matemática,LOGM
Tecnologias Web,TWB
Metodologia do Trabalho Científico,MTC
Introdução à Administração,INTA
Introdução à Engenharia Elétrica,INEE
Lógica e Linguagem de Programação,LLPR
Arquitetura de Computadores,ARQC
Redes de Computadores I,REDC1
Programação Estruturada e Estrutura de Dados,PEED
Gerência de Redes,GERE
Banco de Dados I,BD1
Introdução à Contabilidade e Finanças,ICF
Sistemas Operacionais,SOP
Sociologia Aplicada a Ética Profissional,SAEP
Design e Multimídia,DEM
Processamento Digital de Imagens,PDI
Programação Orientada a Objetos,POO
Sistemas Distribuídos,SDIS
Construção e Análise de Algoritmos,CAA
Banco de Dados II,BD2
Engenharia de Software,ENGS
Interface Homem-Computador,IHC
Gerência de Projetos,GERP
Legislação e Informática,LINF
Programação Web I,PWEB1
Comércio Eletrônico,COME
Análise e Projeto de Sistemas,APSI
Marketing,MKT
Projeto Integrador I,PRINT1
Programação Web II,PWEB2
Redes de Computadores II,REDC2
Laboratório e Desenvolvimento de Sistemas,LDS
Governança de Tecnologia da Informação,GOTI
Inteligência Computacional,ICOM
Projeto Integrador II,PRINT2
Sistemas de Apoio a Decisão,SAD
Auditoria e Segurança de Sistemas de Informação,ASSI
Programação para Dispositivos Móveis,PDM
Empreendedorismo,EMP
Introdução ao Desenvolvimento de Jogos Digitais,IDJD
Responsabilidade Social e Ambiental,RSA
Trabalho de Conclusão de Curso,TCC
Álgebra Linear,ALGL
Libras,LBR
Engenharia de Vendas e Negócios de Informática,EVNI
Computação Gráfica,CMP
Gerenciamento de Projetos em Softwares Livres,GPSL
Higiene e Segurança do Trabalho,HST
Química Geral e Experimental,QGEX
Introdução a Engenharia Elétrica,INEE
Álgebra Vetorial,ALVE
Lógica de Programação,LOPR
Metodologia do Trabalho Científico,MTC
Desenho Técnico,DTEC
Física 1,FIS1
Álgebra Linear,ALIN
Eletrônica Digital,ELED
Física 2,FIS2
Materiais Elétricos e Magnéticos,MAEM
Sistemas Microprocessados,SMIC
Equações Diferenciais,EDIF
Cálculo Numérico,CALN
Física 3,FIS3
Variáveis Complexas,VACO
Circuitos Elétricos,CIEL1
Resistência dos Materiais,REMA
Circuitos Elétricos 2,CIEL2
Análise de Sinais e Sistemas Lineares,ASSL
Eletromagnetismo,EMAG
Eletrônica 1,ELET1
Sistemas de Comunicações,SCOM
Sistemas de Controle,SCON
Conversão Eletromecânica de Energia,CEME
Geração Transmissão e Distribuição de Energia Elétrica,GTDE
Eletrônica 2,ELET2
Sistemas Elétricos I,SIS1
